mode,item_id,item_role,theater_family,actor_label,main_score,lane,card_type,source_ids,declared_axes,item_primary_weight_per_axis,item_max_weight_per_axis,family_scored_primary_numerator_per_axis,mode_primary_denominator_per_axis,family_scored_max_numerator_per_axis,mode_max_denominator_per_axis,activism_family_share,escalation_family_share,alliance_family_share,legitimacy_family_share,one_third_pass,review_status
standard,gray_zone_sabotage,retained_scored,euro_atlantic,neutral,true,deterrence,explanation,SAx,activism;escalation,1,1,2,9,2,9,0.222222,0.222222,0.222222,0.222222,true,v5_beta_candidate
standard,eastern_flank,retained_scored,euro_atlantic,neutral,true,alliances,decision,SAx,activism;escalation;alliance,1,1,2,9,2,9,0.222222,0.222222,0.222222,0.222222,true,v5_beta_candidate
standard,maritime_pressure,retained_scored,indo_pacific_non_taiwan,small_state,true,alliances,decision,SAx,alliance;legitimacy,1,1,1,9,1,9,0.111111,0.111111,0.111111,0.111111,true,v5_beta_candidate
standard,middle_power_alignment,retained_actor_lens,china_india,middle_power,false,alliances,actorLens,SAx,alliance,0,0,0,9,0,9,0,0,0,0,true,v5_beta_candidate_actor_excluded
standard,atrocity_response,retained_scored,trans_theater_protection,neutral,true,legitimacy,decision,SAx,activism;legitimacy,1,1,2,9,2,9,0.222222,0.222222,0.222222,0.222222,true,v5_beta_candidate
standard,aid_corridor,retained_scored,trans_theater_protection,neutral,true,legitimacy,decision,SAx,activism;legitimacy,1,1,2,9,2,9,0.222222,0.222222,0.222222,0.222222,true,v5_beta_candidate
standard,ceasefire_accountability,retained_scored,generic_mediation,neutral,true,legitimacy,explanation,SAx,legitimacy,1,1,1,9,1,9,0.111111,0.111111,0.111111,0.111111,true,v5_beta_candidate
standard,taiwan_inspection_regime_core,new_scored,taiwan,neutral,true,deterrence,explanation,T01;T02;T03;T05,activism;escalation;alliance,1,1,1,9,1,9,0.111111,0.111111,0.111111,0.111111,true,v5_beta_candidate
standard,taiwan_beijing_instrument,new_actor_lens,taiwan,Beijing,false,deterrence,actorLens,T01;T02;T05,activism;escalation,0,0,1,9,1,9,0.111111,0.111111,0.111111,0.111111,true,v5_beta_candidate_actor_excluded
standard,taiwan_taipei_continuity,new_actor_lens,taiwan,Taipei,false,deterrence,actorLens,T03,activism;escalation;alliance,0,0,1,9,1,9,0.111111,0.111111,0.111111,0.111111,true,v5_beta_candidate_actor_excluded
standard,taiwan_washington_coalition,new_actor_lens,taiwan,Washington-regional_coalition,false,alliances,actorLens,T07;T08;T09;T10,escalation;alliance,0,0,1,9,1,9,0.111111,0.111111,0.111111,0.111111,true,v5_beta_candidate_actor_excluded
