kind,artifact_or_target,screenshot_captured,screenshot_actually_inspected,geometry_asserted,task_executed,inspection_extent_or_limit
capture,after/ai-1440-expanded.png,yes,no,see geometry JSON and browser suite,capture,Captured for review; no claim of final pixel inspection
capture,after/ai-1440.png,yes,yes,see geometry JSON and browser suite,capture,Opening in contact sheet; calculations and sources inspected separately
capture,after/ai-390-expanded.png,yes,no,see geometry JSON and browser suite,capture,Captured for review; no claim of final pixel inspection
capture,after/ai-390.png,yes,no,see geometry JSON and browser suite,capture,Captured for review; no claim of final pixel inspection
capture,after/ai-calculations-region.png,yes,yes,see geometry JSON and browser suite,capture,Full exact-comparison region
capture,after/ai-print.pdf,PDF,no,see geometry JSON and browser suite,capture,Captured for review; no claim of final pixel inspection
capture,after/ai-print.png,yes,yes,see geometry JSON and browser suite,capture,Long-page print hierarchy; not each PDF page
capture,after/ai-reference-1440.png,yes,no,see geometry JSON and browser suite,capture,Captured for review; no claim of final pixel inspection
capture,after/ai-reference-390.png,yes,no,see geometry JSON and browser suite,capture,Captured for review; no claim of final pixel inspection
capture,after/ai-sources-region.png,yes,yes,see geometry JSON and browser suite,capture,Full expanded source region
capture,after/ai-tie-1440.png,yes,no,see geometry JSON and browser suite,capture,Captured for review; no claim of final pixel inspection
capture,after/ai-tie-390.png,yes,no,see geometry JSON and browser suite,capture,Captured for review; no claim of final pixel inspection
capture,after/ai-tied-marks.png,yes,no,see geometry JSON and browser suite,capture,Captured for review; no claim of final pixel inspection
capture,after/atlas-1024.png,yes,no,see geometry JSON and browser suite,capture,Captured for review; no claim of final pixel inspection
capture,after/atlas-1440-expanded.png,yes,no,see geometry JSON and browser suite,capture,Captured for review; no claim of final pixel inspection
capture,after/atlas-1440.png,yes,no,see geometry JSON and browser suite,capture,Captured for review; no claim of final pixel inspection
capture,after/atlas-1920.png,yes,no,see geometry JSON and browser suite,capture,Captured for review; no claim of final pixel inspection
capture,after/atlas-320.png,yes,no,see geometry JSON and browser suite,capture,Captured for review; no claim of final pixel inspection
capture,after/atlas-390-expanded.png,yes,no,see geometry JSON and browser suite,capture,Captured for review; no claim of final pixel inspection
capture,after/atlas-390.png,yes,no,see geometry JSON and browser suite,capture,Captured for review; no claim of final pixel inspection
capture,after/atlas-768.png,yes,no,see geometry JSON and browser suite,capture,Captured for review; no claim of final pixel inspection
capture,after/atlas-marks.png,yes,yes,see geometry JSON and browser suite,capture,Full six-mark region after capture-only sticky-header masking
capture,after/chinese-1440.png,yes,no,see geometry JSON and browser suite,capture,Captured for review; no claim of final pixel inspection
capture,after/chinese-390.png,yes,no,see geometry JSON and browser suite,capture,Captured for review; no claim of final pixel inspection
capture,after/chinese-opening.png,yes,no,see geometry JSON and browser suite,capture,Captured for review; no claim of final pixel inspection
capture,after/foundation-1440-expanded.png,yes,no,see geometry JSON and browser suite,capture,Captured for review; no claim of final pixel inspection
capture,after/foundation-1440.png,yes,no,see geometry JSON and browser suite,capture,Captured for review; no claim of final pixel inspection
