route,mode,state,baseline,delta,proof
/modules/security,standard,first start / keyboard / resumed draft / mode switch,Batch A surface-coverage.csv route row 65; Batch B reading-delta.json,Introduction is shown before Start; returning answers reopen the task. Same-question mode switches restore focus and separate drafts.,"e2e/module-journey.spec.ts: security standard: start, keyboard, mode drafts, incomplete review and reload"
/modules/security,standard,incomplete review / missing-answer correction / reload,Batch A surface-coverage.csv route row 65; Batch B reading-delta.json,Incomplete review is visible during the visit. Existing normalization restores the first missing question on reload; no new stored stage.,"e2e/module-journey.spec.ts: security standard: start, keyboard, mode drafts, incomplete review and reload"
/modules/security,standard,complete review / edit / reload / local result / Profile,Batch A surface-coverage.csv route row 65; Batch B reading-delta.json,"Exact answers, bank/scorer tuple, headline, summary and saved scores are checked. Standalone Profile has one result link.","e2e/module-journey.spec.ts: security standard: review edit, exact result evidence, standalone Profile"
/modules/security,analyst,first start / keyboard / resumed draft / mode switch,Batch A surface-coverage.csv route row 65; Batch B reading-delta.json,Introduction is shown before Start; returning answers reopen the task. Same-question mode switches restore focus and separate drafts.,"e2e/module-journey.spec.ts: security analyst: start, keyboard, mode drafts, incomplete review and reload"
/modules/security,analyst,incomplete review / missing-answer correction / reload,Batch A surface-coverage.csv route row 65; Batch B reading-delta.json,Incomplete review is visible during the visit. Existing normalization restores the first missing question on reload; no new stored stage.,"e2e/module-journey.spec.ts: security analyst: start, keyboard, mode drafts, incomplete review and reload"
/modules/security,analyst,complete review / edit / reload / local result / Profile,Batch A surface-coverage.csv route row 65; Batch B reading-delta.json,"Exact answers, bank/scorer tuple, headline, summary and saved scores are checked. Standalone Profile has one result link.","e2e/module-journey.spec.ts: security analyst: review edit, exact result evidence, standalone Profile"
/modules/technology,standard,first start / keyboard / resumed draft / mode switch,Batch A surface-coverage.csv route row 66; Batch B reading-delta.json,Introduction is shown before Start; returning answers reopen the task. Same-question mode switches restore focus and separate drafts.,"e2e/module-journey.spec.ts: technology standard: start, keyboard, mode drafts, incomplete review and reload"
/modules/technology,standard,incomplete review / missing-answer correction / reload,Batch A surface-coverage.csv route row 66; Batch B reading-delta.json,Incomplete review is visible during the visit. Existing normalization restores the first missing question on reload; no new stored stage.,"e2e/module-journey.spec.ts: technology standard: start, keyboard, mode drafts, incomplete review and reload"
/modules/technology,standard,complete review / edit / reload / local result / Profile,Batch A surface-coverage.csv route row 66; Batch B reading-delta.json,"Exact answers, bank/scorer tuple, headline, summary and saved scores are checked. Standalone Profile has one result link.","e2e/module-journey.spec.ts: technology standard: review edit, exact result evidence, standalone Profile"
/modules/technology,analyst,first start / keyboard / resumed draft / mode switch,Batch A surface-coverage.csv route row 66; Batch B reading-delta.json,Introduction is shown before Start; returning answers reopen the task. Same-question mode switches restore focus and separate drafts.,"e2e/module-journey.spec.ts: technology analyst: start, keyboard, mode drafts, incomplete review and reload"
/modules/technology,analyst,incomplete review / missing-answer correction / reload,Batch A surface-coverage.csv route row 66; Batch B reading-delta.json,Incomplete review is visible during the visit. Existing normalization restores the first missing question on reload; no new stored stage.,"e2e/module-journey.spec.ts: technology analyst: start, keyboard, mode drafts, incomplete review and reload"
/modules/technology,analyst,complete review / edit / reload / local result / Profile,Batch A surface-coverage.csv route row 66; Batch B reading-delta.json,"Exact answers, bank/scorer tuple, headline, summary and saved scores are checked. Standalone Profile has one result link.","e2e/module-journey.spec.ts: technology analyst: review edit, exact result evidence, standalone Profile"
/modules/[slug]/results/[payload],both; every supported bank/scorer,"shared / legacy wire 1,2,3 / partial / absent / actor-only",RELEASE_TEST_MATRIX.md SEC-V3/V4/V5 and TECH-V2/V3; existing replay fixtures,Exact bank wording is rendered for available answers. Missing scored answers retain the valid calculation without a transcript. Shared opens leave Profile empty.,e2e/module-journey.spec.ts legacy and actor-only checks
/profile and /profile/share/[payload],local and shared,empty / one module / multiple modules / shared,Batch A surface-coverage.csv route row 22; Batch B reading-delta.json; existing Profile fixtures,Result→Profile→saved result is direct without Foundation. Multiple results retain separate paths. Shared Profile does not import records.,e2e/module-journey.spec.ts standalone and multiple-module checks; existing v22 visual accessibility suite
/modules/[slug] and results,Advanced reflow plus existing Standard 320 check,320 / 390 / 768 / 1440; reduced motion; print; no-JS,RELEASE_TEST_MATRIX.md; Batch B geometry records,Question/review/result reflow is checked at all four widths. Print exposes full result analysis and hides onward controls. No-JS player explains requirements; server result evidence stays readable.,e2e/module-journey.spec.ts reflow boundary test; before/ and after/ captures
